Month,State,CPI Index,YoY %
2012-06-01,W.P. Kuala Lumpur,104.0,1.36
2012-06-01,W.P. Labuan,106.6,3.0
2012-06-01,W.P. Putrajaya,105.0,1.65
2012-07-01,Johor,105.1,1.45
2012-07-01,Kedah,104.9,1.55
2012-07-01,Kelantan,105.8,1.44
2012-07-01,Melaka,104.8,1.75
2012-07-01,Negeri Sembilan,105.0,0.86
2012-07-01,Pahang,105.0,1.65
2012-07-01,Perak,104.1,0.87
2012-07-01,Perlis,104.2,1.66
2012-07-01,Pulau Pinang,105.1,1.55
2012-07-01,Sabah,104.6,1.55
2012-07-01,Sarawak,104.4,1.75
2012-07-01,Selangor,105.0,1.35
2012-07-01,Terengganu,105.2,1.06
2012-07-01,W.P. Kuala Lumpur,104.1,1.26
2012-07-01,W.P. Labuan,106.6,2.6
2012-07-01,W.P. Putrajaya,104.9,1.55
2012-08-01,Johor,105.4,1.64
2012-08-01,Kedah,105.0,1.55
2012-08-01,Kelantan,106.1,1.43
2012-08-01,Melaka,105.0,1.94
2012-08-01,Negeri Sembilan,105.1,0.86
2012-08-01,Pahang,105.0,1.55
2012-08-01,Perak,104.1,0.77
2012-08-01,Perlis,104.3,1.66
2012-08-01,Pulau Pinang,105.1,1.25
2012-08-01,Sabah,104.9,1.45
2012-08-01,Sarawak,104.4,1.56
2012-08-01,Selangor,105.4,1.54
2012-08-01,Terengganu,105.1,0.77
2012-08-01,W.P. Kuala Lumpur,104.1,1.17
2012-08-01,W.P. Labuan,106.8,2.5
2012-08-01,W.P. Putrajaya,105.0,1.55
2012-09-01,Johor,105.6,1.64
2012-09-01,Kedah,105.3,1.54
2012-09-01,Kelantan,106.0,1.24
2012-09-01,Melaka,105.2,1.74
2012-09-01,Negeri Sembilan,105.3,0.86
2012-09-01,Pahang,105.3,1.64
2012-09-01,Perak,104.5,0.97
2012-09-01,Perlis,104.5,1.55
2012-09-01,Pulau Pinang,105.4,1.44
2012-09-01,Sabah,104.8,1.26
2012-09-01,Sarawak,104.7,1.65
2012-09-01,Selangor,105.6,1.54
2012-09-01,Terengganu,104.9,0.48
2012-09-01,W.P. Kuala Lumpur,104.3,1.16
2012-09-01,W.P. Labuan,107.1,2.59
2012-09-01,W.P. Putrajaya,105.2,1.35
2012-10-01,Johor,105.6,1.34
2012-10-01,Kedah,105.7,1.63
2012-10-01,Kelantan,105.9,1.05
2012-10-01,Melaka,105.3,1.64
2012-10-01,Negeri Sembilan,105.5,0.76
2012-10-01,Pahang,105.4,1.35
2012-10-01,Perak,104.7,0.87
2012-10-01,Perlis,104.6,1.26
2012-10-01,Pulau Pinang,105.6,1.34
2012-10-01,Sabah,105.1,1.45
2012-10-01,Sarawak,104.8,1.55
2012-10-01,Selangor,105.7,1.44
2012-10-01,Terengganu,105.0,0.48
2012-10-01,W.P. Kuala Lumpur,104.4,0.97
2012-10-01,W.P. Labuan,107.0,2.0
2012-10-01,W.P. Putrajaya,105.2,0.86
2012-11-01,Johor,105.8,1.54
2012-11-01,Kedah,105.6,1.44
2012-11-01,Kelantan,106.0,1.15
2012-11-01,Melaka,105.2,1.25
2012-11-01,Negeri Sembilan,105.5,0.86
2012-11-01,Pahang,105.8,1.73
2012-11-01,Perak,104.8,0.96
2012-11-01,Perlis,104.6,1.45
2012-11-01,Pulau Pinang,105.5,1.15
2012-11-01,Sabah,105.2,1.35
2012-11-01,Sarawak,104.9,1.45
2012-11-01,Selangor,105.8,1.34
2012-11-01,Terengganu,105.2,0.77
2012-11-01,W.P. Kuala Lumpur,104.5,0.97
2012-11-01,W.P. Labuan,107.5,2.19
2012-11-01,W.P. Putrajaya,105.3,0.96
2012-12-01,Johor,105.9,1.44
2012-12-01,Kedah,105.6,1.34
2012-12-01,Kelantan,106.1,0.95
2012-12-01,Melaka,105.3,1.15
2012-12-01,Negeri Sembilan,105.6,0.86
2012-12-01,Pahang,105.8,1.54
2012-12-01,Perak,104.7,0.77
2012-12-01,Perlis,104.7,1.65
2012-12-01,Pulau Pinang,105.5,0.96
2012-12-01,Sabah,105.2,1.25
2012-12-01,Sarawak,104.8,1.26
2012-12-01,Selangor,105.8,1.34
2012-12-01,Terengganu,105.4,0.76
2012-12-01,W.P. Kuala Lumpur,104.5,0.97
2012-12-01,W.P. Labuan,107.6,2.28
2012-12-01,W.P. Putrajaya,105.2,0.57
2013-01-01,Johor,106.5,1.43
2013-01-01,Kedah,106.3,1.63
2013-01-01,Kelantan,106.6,0.95
2013-01-01,Melaka,105.8,1.34
2013-01-01,Negeri Sembilan,106.0,1.05
2013-01-01,Pahang,106.4,1.92
2013-01-01,Perak,105.1,0.86
2013-01-01,Perlis,104.9,1.84
2013-01-01,Pulau Pinang,106.1,1.24
2013-01-01,Sabah,105.9,1.53
2013-01-01,Sarawak,105.1,1.25
2013-01-01,Selangor,106.2,1.53
2013-01-01,Terengganu,106.2,1.24
2013-01-01,W.P. Kuala Lumpur,104.7,0.87
2013-01-01,W.P. Labuan,108.0,2.27
2013-01-01,W.P. Putrajaya,105.4,0.57
2013-02-01,Johor,106.7,1.91
2013-02-01,Kedah,106.3,1.72
2013-02-01,Kelantan,106.8,1.42
2013-02-01,Melaka,105.8,1.54
2013-02-01,Negeri Sembilan,106.4,1.53
2013-02-01,Pahang,106.4,1.92
2013-02-01,Perak,105.4,1.35
2013-02-01,Perlis,104.8,0.77
2013-02-01,Pulau Pinang,106.3,1.53
2013-02-01,Sabah,106.4,1.92
2013-02-01,Sarawak,105.3,1.35
2013-02-01,Selangor,106.3,1.63
2013-02-01,Terengganu,106.1,1.43
2013-02-01,W.P. Kuala Lumpur,104.9,0.87
2013-02-01,W.P. Labuan,107.9,1.79
2013-02-01,W.P. Putrajaya,105.5,0.48
2013-03-01,Johor,106.7,2.11
2013-03-01,Kedah,106.4,2.01
2013-03-01,Kelantan,106.8,1.52
2013-03-01,Melaka,105.8,1.54
2013-03-01,Negeri Sembilan,106.5,1.82
2013-03-01,Pahang,106.7,2.2
2013-03-01,Perak,105.4,1.35
2013-03-01,Perlis,104.9,0.96
2013-03-01,Pulau Pinang,106.4,1.53
2013-03-01,Sabah,106.6,2.11
2013-03-01,Sarawak,105.6,1.44
2013-03-01,Selangor,106.6,1.91
2013-03-01,Terengganu,106.1,1.53
2013-03-01,W.P. Kuala Lumpur,104.9,0.96
2013-03-01,W.P. Labuan,108.5,2.46
2013-03-01,W.P. Putrajaya,106.0,0.95
2013-04-01,Johor,106.6,2.01
